action_type|buid|view_source|action|value_1|value_2
1|3|0|sourceurlwrapunencoded|http://ad.doubleclick.net/clk;239702213;62533243;w?|
1|5|0|microsite|http://jobsearch.lilly.com/[Unique_ID]/job/|
1|5|10|micrositetag|[blank]|
1|5|11|micrositetag|[blank]|
1|5|78|micrositetag|[blank]|
1|5|86|micrositetag|[blank]|
1|5|88|micrositetag|[blank]|
1|5|89|micrositetag|[blank]|
1|5|90|micrositetag|[blank]|
1|5|91|micrositetag|[blank]|
1|5|92|micrositetag|[blank]|
1|5|93|micrositetag|[blank]|
1|5|94|micrositetag|[blank]|
1|5|99|micrositetag|[blank]|
1|5|307|micrositetag|[blank]|
1|5|503|micrositetag|[blank]|
1|5|504|micrositetag|[blank]|
1|5|505|micrositetag|[blank]|
1|5|506|micrositetag|[blank]|
1|5|507|micrositetag|[blank]|
1|5|508|micrositetag|[blank]|
1|5|509|micrositetag|[blank]|
1|5|510|micrositetag|[blank]|
1|5|511|micrositetag|[blank]|
1|5|512|micrositetag|[blank]|
1|5|539|micrositetag|[blank]|
1|5|540|micrositetag|[blank]|
1|5|541|micrositetag|[blank]|
1|5|542|micrositetag|[blank]|
1|5|543|micrositetag|[blank]|
1|5|544|micrositetag|[blank]|
1|5|545|micrositetag|[blank]|
1|5|546|micrositetag|[blank]|
1|5|547|micrositetag|[blank]|
1|5|548|micrositetag|[blank]|
1|5|549|micrositetag|[blank]|
1|5|550|micrositetag|[blank]|
1|5|616|micrositetag|[blank]|
1|5|1604|micrositetag|[blank]|
1|5|1611|micrositetag|[blank]|
1|5|1612|micrositetag|[blank]|
1|5|1613|micrositetag|[blank]|
1|8|0|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|10|micrositetag|[blank]|
1|8|11|micrositetag|[blank]|
1|8|78|micrositetag|[blank]|
1|8|86|micrositetag|[blank]|
1|8|88|micrositetag|[blank]|
1|8|89|micrositetag|[blank]|
1|8|90|micrositetag|[blank]|
1|8|91|micrositetag|[blank]|
1|8|92|micrositetag|[blank]|
1|8|93|micrositetag|[blank]|
1|8|94|micrositetag|[blank]|
1|8|99|micrositetag|[blank]|
1|8|201|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|209|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|218|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|307|micrositetag|[blank]|
1|8|500|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|503|micrositetag|[blank]|
1|8|504|micrositetag|[blank]|
1|8|505|micrositetag|[blank]|
1|8|506|micrositetag|[blank]|
1|8|507|micrositetag|[blank]|
1|8|508|micrositetag|[blank]|
1|8|509|micrositetag|[blank]|
1|8|510|micrositetag|[blank]|
1|8|511|micrositetag|[blank]|
1|8|512|micrositetag|[blank]|
1|8|539|micrositetag|[blank]|
1|8|540|micrositetag|[blank]|
1|8|541|micrositetag|[blank]|
1|8|542|micrositetag|[blank]|
1|8|543|micrositetag|[blank]|
1|8|544|micrositetag|[blank]|
1|8|545|micrositetag|[blank]|
1|8|546|micrositetag|[blank]|
1|8|547|micrositetag|[blank]|
1|8|548|micrositetag|[blank]|
1|8|549|micrositetag|[blank]|
1|8|550|micrositetag|[blank]|
1|8|600|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|601|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|603|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|605|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|610|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|612|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|613|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|614|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|615|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|616|micrositetag|[blank]|
1|8|1524|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|1528|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|1547|microsite|http://gm.jobs/[Unique_ID]/job/|
1|8|1604|micrositetag|[blank]|
1|8|1611|micrositetag|[blank]|
1|8|1612|micrositetag|[blank]|
1|8|1613|micrositetag|[blank]|
1|12|0|microsite|http://searchjobs.intel.com/[Unique_ID]/job/|
1|12|10|micrositetag|[blank]|
1|12|11|micrositetag|[blank]|
1|12|78|micrositetag|[blank]|
1|12|86|micrositetag|[blank]|
1|12|88|micrositetag|[blank]|
1|12|89|micrositetag|[blank]|
1|12|90|micrositetag|[blank]|
1|12|91|micrositetag|[blank]|
1|12|92|micrositetag|[blank]|
1|12|93|micrositetag|[blank]|
1|12|94|micrositetag|[blank]|
1|12|99|micrositetag|[blank]|
1|12|307|micrositetag|[blank]|
1|12|503|micrositetag|[blank]|
1|12|504|micrositetag|[blank]|
1|12|505|micrositetag|[blank]|
1|12|506|micrositetag|[blank]|
1|12|507|micrositetag|[blank]|
1|12|508|micrositetag|[blank]|
1|12|509|micrositetag|[blank]|
1|12|510|micrositetag|[blank]|
1|12|511|micrositetag|[blank]|
1|12|512|micrositetag|[blank]|
1|12|539|micrositetag|[blank]|
1|12|540|micrositetag|[blank]|
1|12|541|micrositetag|[blank]|
1|12|542|micrositetag|[blank]|
1|12|543|micrositetag|[blank]|
1|12|544|micrositetag|[blank]|
1|12|545|micrositetag|[blank]|
1|12|546|micrositetag|[blank]|
1|12|547|micrositetag|[blank]|
1|12|548|micrositetag|[blank]|
1|12|549|micrositetag|[blank]|
1|12|550|micrositetag|[blank]|
1|12|616|micrositetag|[blank]|
1|12|1604|micrositetag|[blank]|
1|12|1611|micrositetag|[blank]|
1|12|1612|micrositetag|[blank]|
1|12|1613|micrositetag|[blank]|
1|13|0|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|10|micrositetag|[blank]|
1|13|11|micrositetag|[blank]|
1|13|78|micrositetag|[blank]|
1|13|86|micrositetag|[blank]|
1|13|88|micrositetag|[blank]|
1|13|89|micrositetag|[blank]|
1|13|90|micrositetag|[blank]|
1|13|91|micrositetag|[blank]|
1|13|92|micrositetag|[blank]|
1|13|93|micrositetag|[blank]|
1|13|94|micrositetag|[blank]|
1|13|99|micrositetag|[blank]|
1|13|201|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|209|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|265|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|307|micrositetag|[blank]|
1|13|500|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|503|micrositetag|[blank]|
1|13|504|micrositetag|[blank]|
1|13|505|micrositetag|[blank]|
1|13|506|micrositetag|[blank]|
1|13|507|micrositetag|[blank]|
1|13|508|micrositetag|[blank]|
1|13|509|micrositetag|[blank]|
1|13|510|micrositetag|[blank]|
1|13|511|micrositetag|[blank]|
1|13|512|micrositetag|[blank]|
1|13|539|micrositetag|[blank]|
1|13|540|micrositetag|[blank]|
1|13|541|micrositetag|[blank]|
1|13|542|micrositetag|[blank]|
1|13|543|micrositetag|[blank]|
1|13|544|micrositetag|[blank]|
1|13|545|micrositetag|[blank]|
1|13|546|micrositetag|[blank]|
1|13|547|micrositetag|[blank]|
1|13|548|micrositetag|[blank]|
1|13|549|micrositetag|[blank]|
1|13|550|micrositetag|[blank]|
1|13|600|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|601|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|603|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|605|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|610|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|612|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|613|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|614|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|616|micrositetag|[blank]|
1|13|1524|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|1528|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|1547|microsite|http://lockheedmartin.jobs/[Unique_ID]/job/|
1|13|1604|micrositetag|[blank]|
1|13|1611|micrositetag|[blank]|
1|13|1612|micrositetag|[blank]|
1|13|1613|micrositetag|[blank]|
1|20|0|microsite|http://qualcomm.jobs/[Unique_ID]/job/|
1|20|10|micrositetag|[blank]|
1|20|11|micrositetag|[blank]|
1|20|78|micrositetag|[blank]|
1|20|86|micrositetag|[blank]|
1|20|88|micrositetag|[blank]|
1|20|89|micrositetag|[blank]|
1|20|90|micrositetag|[blank]|
1|20|91|micrositetag|[blank]|
1|20|92|micrositetag|[blank]|
1|20|93|micrositetag|[blank]|
1|20|94|micrositetag|[blank]|
1|20|99|micrositetag|[blank]|
1|20|307|micrositetag|[blank]|
1|20|503|micrositetag|[blank]|
1|20|504|micrositetag|[blank]|
1|20|505|micrositetag|[blank]|
1|20|506|micrositetag|[blank]|
1|20|507|micrositetag|[blank]|
1|20|508|micrositetag|[blank]|
1|20|509|micrositetag|[blank]|
1|20|510|micrositetag|[blank]|
1|20|511|micrositetag|[blank]|
1|20|512|micrositetag|[blank]|
1|20|539|micrositetag|[blank]|
1|20|540|micrositetag|[blank]|
1|20|541|micrositetag|[blank]|
1|20|542|micrositetag|[blank]|
1|20|543|micrositetag|[blank]|
1|20|544|micrositetag|[blank]|
1|20|545|micrositetag|[blank]|
1|20|546|micrositetag|[blank]|
1|20|547|micrositetag|[blank]|
1|20|548|micrositetag|[blank]|
1|20|549|micrositetag|[blank]|
1|20|550|micrositetag|[blank]|
1|20|616|micrositetag|[blank]|
1|20|1604|micrositetag|[blank]|
1|20|1611|micrositetag|[blank]|
1|20|1612|micrositetag|[blank]|
1|20|1613|micrositetag|[blank]|
1|25|0|microsite|http://trw.jobs/[Unique_ID]/job/|
1|25|10|micrositetag|[blank]|
1|25|11|micrositetag|[blank]|
1|25|78|micrositetag|[blank]|
1|25|86|micrositetag|[blank]|
1|25|88|micrositetag|[blank]|
1|25|89|micrositetag|[blank]|
1|25|90|micrositetag|[blank]|
1|25|91|micrositetag|[blank]|
1|25|92|micrositetag|[blank]|
1|25|93|micrositetag|[blank]|
1|25|94|micrositetag|[blank]|
1|25|99|micrositetag|[blank]|
1|25|307|micrositetag|[blank]|
1|25|503|micrositetag|[blank]|
1|25|504|micrositetag|[blank]|
1|25|505|micrositetag|[blank]|
1|25|506|micrositetag|[blank]|
1|25|507|micrositetag|[blank]|
1|25|508|micrositetag|[blank]|
1|25|509|micrositetag|[blank]|
1|25|510|micrositetag|[blank]|
1|25|511|micrositetag|[blank]|
1|25|512|micrositetag|[blank]|
1|25|539|micrositetag|[blank]|
1|25|540|micrositetag|[blank]|
1|25|541|micrositetag|[blank]|
1|25|542|micrositetag|[blank]|
1|25|543|micrositetag|[blank]|
1|25|544|micrositetag|[blank]|
1|25|545|micrositetag|[blank]|
1|25|546|micrositetag|[blank]|
1|25|547|micrositetag|[blank]|
1|25|548|micrositetag|[blank]|
1|25|549|micrositetag|[blank]|
1|25|550|micrositetag|[blank]|
1|25|616|micrositetag|[blank]|
1|25|1604|micrositetag|[blank]|
1|25|1611|micrositetag|[blank]|
1|25|1612|micrositetag|[blank]|
1|25|1613|micrositetag|[blank]|
1|26|0|microsite|http://cdm.jobs/[Unique_ID]/job/|
1|26|10|micrositetag|[blank]|
1|26|11|micrositetag|[blank]|
1|26|78|micrositetag|[blank]|
1|26|86|micrositetag|[blank]|
1|26|88|micrositetag|[blank]|
1|26|89|micrositetag|[blank]|
1|26|90|micrositetag|[blank]|
1|26|91|micrositetag|[blank]|
1|26|92|micrositetag|[blank]|
1|26|93|micrositetag|[blank]|
1|26|94|micrositetag|[blank]|
1|26|99|micrositetag|[blank]|
1|26|307|micrositetag|[blank]|
1|26|503|micrositetag|[blank]|
1|26|504|micrositetag|[blank]|
1|26|505|micrositetag|[blank]|
1|26|506|micrositetag|[blank]|
1|26|507|micrositetag|[blank]|
1|26|508|micrositetag|[blank]|
1|26|509|micrositetag|[blank]|
1|26|510|micrositetag|[blank]|
1|26|511|micrositetag|[blank]|
1|26|512|micrositetag|[blank]|
1|26|539|micrositetag|[blank]|
1|26|540|micrositetag|[blank]|
1|26|541|micrositetag|[blank]|
1|26|542|micrositetag|[blank]|
1|26|543|micrositetag|[blank]|
1|26|544|micrositetag|[blank]|
1|26|545|micrositetag|[blank]|
1|26|546|micrositetag|[blank]|
1|26|547|micrositetag|[blank]|
1|26|548|micrositetag|[blank]|
1|26|549|micrositetag|[blank]|
1|26|550|micrositetag|[blank]|
1|26|616|micrositetag|[blank]|
1|26|1604|micrositetag|[blank]|
1|26|1611|micrositetag|[blank]|
1|26|1612|micrositetag|[blank]|
1|26|1613|micrositetag|[blank]|
1|29|0|microsite|http://lexisnexis.jobs/[Unique_ID]/job/|
1|29|10|micrositetag|[blank]|
1|29|11|micrositetag|[blank]|
1|29|78|micrositetag|[blank]|
1|29|86|micrositetag|[blank]|
1|29|88|micrositetag|[blank]|
1|29|89|micrositetag|[blank]|
1|29|90|micrositetag|[blank]|
1|29|91|micrositetag|[blank]|
1|29|92|micrositetag|[blank]|
1|29|93|micrositetag|[blank]|
